index,pl_name,hostname,discoverymethod,disc_year,pl_orbper,pl_rade,pl_bmasse,pl_eqt,st_teff,st_mass,st_rad,sy_dist,sy_vmag,rastr,decstr
215,TOI-1670 b,TOI-1670,Transit,2022,10.98462,2.06,41.31769,1062,6170,1.21,1.32,168.067,9.889,17h16m04.14s,+72d09m40.25s
216,TOI-1670 c,TOI-1670,Transit,2022,40.74976,11.063,200.2319,684,6170,1.21,1.32,168.067,9.889,17h16m04.14s,+72d09m40.25s
217,TOI-1680 b,TOI-1680,Transit,2023,4.8026345,1.466,,404,3225,0.18,0.21,37.2209,15.87,19h29m15.35s,+65d58m25.69s
218,TOI-1683.01,TOI-1683,Transit,2024,3.0575356,2.638,,929,4402,0.69,0.7,51.1884,10.97,04h23m55.12s,+27d49m20.53s
219,TOI-1685 b,TOI-1685,Transit,2021,0.66913924,1.468,3.03,1062,3575,0.45,0.46,37.6153,13.378,04h34m22.55s,+43d02m13.34s
220,TOI-169 b,TOI-169,Transit,2020,2.2554477,12.173,251.40353,1715,5880,1.15,1.29,407.84,12.355,01h07m06.89s,-75d11m56.20s
221,TOI-1691 b,TOI-1691,Transit,2024,16.7369,3.565,14.6,703,5642,0.96,1.01,111.445,10.134,18h09m36.99s,+86d51m37.23s
222,TOI-1693 b,TOI-1693,Transit,2022,1.7666957,1.41,,764,3499,0.49,0.46,30.7947,12.962,06h01m14.00s,+34d46m23.13s
223,TOI-1694 b,TOI-1694,Transit,2023,3.770107,5.342,31.3,943,5058,0.85,0.8,124.68,11.446,06h30m59.69s,+66d21m38.14s
224,TOI-1695 b,TOI-1695,Transit,2022,3.1342791,1.9,6.36,698,3690,0.51,0.52,45.1309,12.989,01h27m41.22s,+72d17m47.81s
225,TOI-1696 b,TOI-1696,Transit,2022,2.500311,3.09,48.8,489,3185,0.26,0.28,64.9172,16.82,04h21m07.36s,+48d49m11.39s
226,TOI-1710 b,TOI-1710,Transit,2022,24.283377,5.203,22.4,603,5684,1.03,0.96,81.2271,9.545,06h17m08.12s,+76d12m39.67s
227,TOI-172 b,TOI-172,Transit,2019,9.47725,10.817,1722.6386,1198,5645,1.13,1.78,342.831,11.299,21h06m31.65s,-26d41m34.32s
228,TOI-1723 b,TOI-1723,Transit,2024,13.72641,3.292,10.4,783,5743,1.04,1.09,100.727,9.664,07h47m11.33s,+68d28m36.06s
229,TOI-1728 b,TOI-1728,Transit,2020,3.49151,5.05,26.78,767,3980,0.65,0.62,60.798,12.39,08h02m26.80s,+64d47m49.75s
230,TOI-1736 b,TOI-1736,Transit,2023,7.073076,3.182,12.3,1100,5636,1.04,1.43,88.9482,8.953,02h53m44.27s,+69d06m04.84s
231,TOI-1739 b,TOI-1739,Transit,2024,8.303342,1.695,,756,4922,0.79,0.75,70.9819,10.692,16h00m41.40s,+83d15m31.17s
232,TOI-1742 b,TOI-1742,Transit,2024,21.269084,2.365,9.7,694,5815,1.09,1.13,72.8871,8.863,17h09m18.93s,+71d52m36.02s
233,TOI-1749 b,TOI-1749,Transit,2021,2.38839,1.39,57,831,3985,0.58,0.55,99.5561,13.86,18h50m56.93s,+64d25m10.08s
